doc_id,Gender,judgement,GT_score,InferredGender
107,0,0.4094394330419939,8765,0
13,0,0.394261370333904,19923,0
19,0,0.366893878472759,18135,0
24,0,0.3560600818357577,17263,0
7,0,0.3538884311955313,26394,0
16,0,0.3395678954109894,18992,0
75,0,0.3056693641845563,11098,0
47,0,0.2970496917777928,13932,0
53,0,0.2963440421884096,12925,0
8,0,0.2932450400985855,26218,0
61,0,0.2835734898440977,12478,0
15,0,0.2789386621773807,19172,0
214,0,0.2782877144600742,4915,0
11,0,0.2775132051352771,21606,0
2,0,0.2770434152694456,26946,0
5,0,0.2759085198229704,26397,0
196,0,0.2758802040962961,5458,0
22,0,0.2748566419752462,17658,0
87,1,0.2707755865637475,9693,1
33,0,0.2707472708370733,15991,0
93,0,0.2630266341532333,9578,0
116,0,0.2629021077551068,8290,0
225,0,0.2619474053694707,4618,0
14,0,0.2615879840384285,19364,0
104,0,0.2601351760602866,8890,0
54,0,0.2547805409408492,12924,0
58,0,0.252705100972075,12558,0
10,0,0.2519032407112395,23848,0
62,0,0.2517088897870634,12417,0
82,0,0.2484296946364002,10061,0
247,0,0.2481806418401473,4037,0
37,0,0.2479457469072314,15428,0
43,0,0.2472127463818099,14593,0
17,0,0.2457042717409553,18715,0
1,0,0.2447920429453305,32292,0
3,0,0.2443486392249015,26931,0
105,0,0.2431995859150892,8875,0
27,0,0.2422731992561273,16827,0
147,0,0.2406401982171463,6602,0
12,0,0.2399071976917247,20445,0
39,0,0.2386619337104602,15092,0
123,0,0.2366138446777244,8138,0
9,0,0.2353553876237586,26126,0
69,0,0.2344968959095747,11713,0
59,0,0.2334318249891493,12517,0
362,0,0.2333620004630996,1953,0
38,0,0.2318129818135054,15213,0
25,0,0.2305677178322409,17105,0
201,0,0.2300969631757735,5317,0
128,0,0.2258215568400986,7674,0
51,0,0.2235942395371596,13570,0
18,0,0.2228885899477764,18679,0
96,0,0.2226395371515235,9377,0
21,0,0.2219480454254774,17911,0
26,0,0.2203292022498335,16933,0
279,0,0.2202593777237838,3300,0
6,0,0.2200386406542052,26395,0
80,0,0.2157075676558177,10457,0
36,0,0.2145453212733042,15525,0
49,0,0.2143519351397639,13856,0
44,0,0.2138123207478826,14508,0
240,0,0.2135491100882925,4231,0
57,0,0.2131896887572503,12670,0
146,0,0.212552898903281,6636,0
202,0,0.2109755645270126,5285,0
4,0,0.2089425981482497,26710,0
113,0,0.2082501416315678,8356,0
145,0,0.2080425976346904,6774,0
173,1,0.2075171411061462,6005,1
86,0,0.2074199656440581,9743,0
135,0,0.2053860344746594,7205,0
