doc_id,Gender,judgement,GT_score,Inferred_Gender
107,0,0.3874279585658153,8765,1
13,0,0.3726683128350613,19923,0
19,0,0.3462376471262755,18135,1
16,0,0.3198498789973886,18992,0
24,0,0.3350413787726571,17263,1
8,0,0.2747558877870469,26218,0
61,0,0.2647607516705983,12478,0
7,0,0.3346495440625164,26394,1
2,0,0.2598646710710709,26946,0
5,0,0.257765567901549,26397,0
22,0,0.2557522598918248,17658,0
75,0,0.2857434247322211,11098,1
87,1,0.2533871365063338,9693,0
93,0,0.2435264496206323,9578,0
47,0,0.2777615966254966,13932,1
116,0,0.2433977568809355,8290,0
58,0,0.233785820738052,12558,0
53,0,0.2770323377672149,12925,1
37,0,0.2297934675619271,15428,0
82,0,0.2293673700084631,10061,0
1,0,0.2293129594464635,32292,0
15,0,0.2608970912341702,19172,1
247,0,0.2291099845290696,4037,0
17,0,0.2274769982473854,18715,0
11,0,0.2584977050053558,21606,1
3,0,0.2270022466229721,26931,0
105,0,0.223962274941199,8875,0
214,0,0.2583718905111842,4915,1
12,0,0.2224122055737875,20445,0
147,0,0.222243493499717,6602,0
39,0,0.2211252781768199,15092,0
196,0,0.2558838308770467,5458,1
9,0,0.2186343402971573,26126,0
69,0,0.2158946516746767,11713,0
33,0,0.2515053994818316,15991,1
362,0,0.2137955485051547,1953,0
25,0,0.2127602500965302,17105,0
14,0,0.2429659028364211,19364,1
128,0,0.2069290574758021,7674,0
51,0,0.2055534566735115,13570,0
18,0,0.2048241978152298,18679,0
225,0,0.2424111125432603,4618,1
21,0,0.2047784219898057,17911,0
26,0,0.2031054163737478,16933,0
104,0,0.2414644875399589,8890,1
6,0,0.2028051333144553,26395,0
279,0,0.2011807817693467,3300,0
54,0,0.235930699732998,12924,1
49,0,0.1969281648683031,13856,0
44,0,0.1963704963296172,14508,0
57,0,0.1957270326311334,12670,0
10,0,0.2348096061645757,23848,1
240,0,0.1951722423379725,4231,0
202,0,0.1925125923842394,5285,0
62,0,0.2327562788204779,12417,1
173,1,0.1907909326972322,6005,0
113,0,0.1906222206231617,8356,0
43,0,0.2299621796359977,14593,1
145,0,0.1904077327236671,6774,0
78,0,0.1897213714452844,10689,0
55,0,0.1858605892543815,12790,0
27,0,0.224857367628026,16827,1
108,0,0.1858605892543815,8667,0
252,0,0.1804983917670163,3820,0
123,0,0.2180824282495216,8138,1
346,0,0.1803754555183699,2099,0
140,0,0.180243884533148,6975,0
59,0,0.2157201831095558,12517,1
267,0,0.1746214233208641,3563,0
189,0,0.1714012265829198,5692,0
30,0,0.1710951870325771,16652,0
38,0,0.2140471774934979,15213,1
73,0,0.1685270887296921,11344,0
110,0,0.1682268056703997,8486,0
201,0,0.211347508205391,5317,1
232,1,0.1659932532701306,4435,0
126,0,0.164794999278486,7839,0
96,0,0.2045668123358363,9377,1
223,0,0.1644089210593957,4684,0
169,1,0.1626872613723885,6184,0
238,1,0.1617892904400363,4258,0
80,0,0.1974029164927165,10457,1
109,0,0.1613603146410471,8620,0
88,0,0.1611916025669766,9654,0
36,0,0.1962017842555466,15525,1
45,0,0.1582287913084259,14192,0
